run_id,run_timestamp,paper_id,paper_title,question_id,question,category,pipeline_id,pipeline_name,stage,namespace,answer,faithfulness,answer_relevancy,context_precision,context_recall,ragas_skipped,ragas_errors,retrieval_ms,generation_ms,latency_ms,ragas_ms,error
f2d323a5be514efa97b20026defcdc82,2026-07-29T14:04:10.001266+00:00,2003.12218,Comprehensive Named Entity Recognition on CORD-19 with Distant or Weak Supervision,q1,Did they experiment with the dataset?,factual,multi_query,Multi-Query Retrieval,pre_retrieval,naive,"Yes, they manually annotated more than 1000 sentences for evaluation, indicating that they experimented with the dataset.",0.5,0.6551795311464989,0.9166666666361111,0.0,,,6508,1077,7585,14769,
f2d323a5be514efa97b20026defcdc82,2026-07-29T14:04:10.001266+00:00,2003.12218,Comprehensive Named Entity Recognition on CORD-19 with Distant or Weak Supervision,q1,Did they experiment with the dataset?,factual,mmr,MMR,during_retrieval,naive,"Yes, they manually annotated more than 1000 sentences for evaluation and calculated precision, recall, and F1 scores on three major biomedical entity types: gene, chemical, and disease.",1.0,0.45888518717697124,0.9166666666361111,0.0,,,4883,1543,6426,15725,
f2d323a5be514efa97b20026defcdc82,2026-07-29T14:04:10.001266+00:00,2003.12218,Comprehensive Named Entity Recognition on CORD-19 with Distant or Weak Supervision,q1,Did they experiment with the dataset?,factual,semantic_chunking,Semantic Chunking,pre_retrieval,semantic,"Yes, they conducted experiments with the dataset, as indicated by the performance comparison shown in Table 1, which compares their annotation results with those of the SciSpacy models. They also manually annotated more than 1000 sentences for evaluation.",0.5,0.9390289541722727,0.6388888888675925,0.0,,,4273,1673,5946,16746,
f2d323a5be514efa97b20026defcdc82,2026-07-29T14:04:10.001266+00:00,2003.12218,Comprehensive Named Entity Recognition on CORD-19 with Distant or Weak Supervision,q1,Did they experiment with the dataset?,factual,rerank,Cross-Encoder Re-rank,during_retrieval,naive,"Yes, they conducted experiments with the dataset, as indicated by the mention of performance comparison between their annotation and the SciSpacy models, along with the manual annotation of more than 1000 sentences for evaluation.",0.6666666666666666,0.9390296974353239,0.6388888888675925,0.0,,,6175,1721,7896,14265,
f2d323a5be514efa97b20026defcdc82,2026-07-29T14:04:10.001266+00:00,2003.12218,Comprehensive Named Entity Recognition on CORD-19 with Distant or Weak Supervision,q1,Did they experiment with the dataset?,factual,naive,Naive RAG,baseline,naive,"Yes, they conducted experiments with the dataset, as indicated by the performance comparison on three major biomedical entity types in the COVID-19 corpus presented in Table 1.",0.5,0.8241616580209019,0.999999999975,1.0,,,4130,1214,5344,20030,
f2d323a5be514efa97b20026defcdc82,2026-07-29T14:04:10.001266+00:00,2003.12218,Comprehensive Named Entity Recognition on CORD-19 with Distant or Weak Supervision,q1,Did they experiment with the dataset?,factual,compression,Contextual Compression,post_retrieval,naive,I don't have enough information in the provided context to answer this question.,0.0,0.0,0.99999999995,0.0,,,2498,874,3372,21336,
f2d323a5be514efa97b20026defcdc82,2026-07-29T14:04:10.001266+00:00,2003.12218,Comprehensive Named Entity Recognition on CORD-19 with Distant or Weak Supervision,q2,What is the size of this dataset?,factual,naive,Naive RAG,baseline,naive,The size of the dataset is about 1.2GB.,1.0,0.9483601253093278,0.49999999995,1.0,,,533,1404,1937,26524,
f2d323a5be514efa97b20026defcdc82,2026-07-29T14:04:10.001266+00:00,2003.12218,Comprehensive Named Entity Recognition on CORD-19 with Distant or Weak Supervision,q1,Did they experiment with the dataset?,factual,crag,CRAG,during_retrieval,naive,"Yes, the paper includes a performance comparison on three major biomedical entity types in the COVID-19 corpus, indicating that they conducted experiments with the dataset.",0.5,0.3957164500989385,0.9166666666361111,0.0,,,3875,1151,5026,18383,
f2d323a5be514efa97b20026defcdc82,2026-07-29T14:04:10.001266+00:00,2003.12218,Comprehensive Named Entity Recognition on CORD-19 with Distant or Weak Supervision,q1,Did they experiment with the dataset?,factual,selfcheck,SelfCheckGPT,post_retrieval,naive,"Yes, they conducted experiments with the dataset, as indicated by the performance comparison on three major biomedical entity types in the COVID-19 corpus presented in Table 1.",0.5,0.7666249086514063,0.999999999975,0.0,,,1918,2858,4776,17868,
f2d323a5be514efa97b20026defcdc82,2026-07-29T14:04:10.001266+00:00,2003.12218,Comprehensive Named Entity Recognition on CORD-19 with Distant or Weak Supervision,q2,What is the size of this dataset?,factual,semantic_chunking,Semantic Chunking,pre_retrieval,semantic,The size of the dataset is about 1.2GB.,1.0,0.9483588250705582,0.49999999995,1.0,,,642,1005,1647,25500,
