run_id,run_timestamp,paper_id,paper_title,question_id,question,category,pipeline_id,pipeline_name,stage,namespace,answer,faithfulness,answer_relevancy,context_precision,context_recall,ragas_skipped,ragas_errors,retrieval_ms,generation_ms,latency_ms,ragas_ms,error
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q1,How many reviews were in the cleaned dataset after initial processing?,factual,naive,Naive RAG,baseline,naive,"The cleaned dataset after initial processing contained 82,069 valid reviews.",1.0,0.952381562875146,0.8333333332916666,1.0,,,12775,4626,17401,13155,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q2,What percentage of the reviews were 1-star ratings?,factual,naive,Naive RAG,baseline,naive,45.4% of the reviews were 1-star ratings.,1.0,0.9999999999999997,0.249999999975,1.0,,,812,1431,2243,10180,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q3,How many numeric features were engineered from the raw text and metadata?,factual,naive,Naive RAG,baseline,naive,A total of 26 numeric features were engineered from the raw text and metadata.,1.0,0.9999995359989265,0.9999999999,1.0,,,842,1046,1888,9518,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q4,How many heuristic rules were defined in the rule-based fake review detection system?,factual,naive,Naive RAG,baseline,naive,Ten independent binary rules were defined in the rule-based fake review detection system.,1.0,0.8679217217699519,0.99999999995,1.0,,,633,5116,5749,8443,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q5,"What contamination parameter was chosen for the Isolation Forest model, and how many anomalies did it identify?",factual,naive,Naive RAG,baseline,naive,"The contamination parameter chosen for the Isolation Forest model was 0.10, and it identified 8,207 anomalies, representing 10.00% of all reviews.",1.0,0.9847814987452747,0.99999999995,1.0,,,687,1433,2120,10063,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q6,How many reviews did the moderate-threshold ensemble vote flag as suspicious?,factual,naive,Naive RAG,baseline,naive,"The moderate-threshold ensemble vote flagged 2,873 reviews as suspicious.",1.0,0.9382181730719809,0.7499999999625,1.0,,,689,1187,1876,12375,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q7,What weighted F1 score and ROC AUC did the Logistic Regression sentiment model achieve?,factual,naive,Naive RAG,baseline,naive,The Logistic Regression sentiment model achieved a weighted F1-score of 0.9227 and a ROC AUC of 0.9678.,1.0,0.7514810043689848,0.999999999975,1.0,,,838,1477,2315,10717,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q8,Which tools were used to build the interactive dashboard?,factual,naive,Naive RAG,baseline,naive,The interactive dashboard was built using Streamlit and Plotly.,1.0,0.9110859243042885,0.7499999999625,1.0,,,555,1128,1683,6861,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q9,How does the project combine rule-based heuristics with machine learning for fake review detection?,synthesis,naive,Naive RAG,baseline,naive,"The project combines rule-based heuristics with machine learning for fake review detection by implementing a hybrid system that includes ten rule-based heuristic voters targeting specific patterns of suspicious reviews, alongside an Isolation Forest anomaly detector that operates on 21 numeric features. Additionally, an ensemble voting system combines all 11 voters to produce a final determination of whether a review is fake or genuine.",1.0,0.7453749613288415,0.9999999999666667,1.0,,,737,1656,2393,10563,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q10,Why was Logistic Regression preferred over Multinomial Naive Bayes for the sentiment classifier?,synthesis,naive,Naive RAG,baseline,naive,"Logistic Regression was preferred over Multinomial Naive Bayes because it consistently outperformed it across all evaluation metrics, achieving higher accuracy (92.28% vs. 90.49%), a higher weighted F1-score (0.9227 vs. 0.9027), and a higher ROC AUC value (0.9678 vs. 0.9561). Additionally, the Logistic Regression model demonstrated strong generalization performance with low variance across folds in cross-validation.",1.0,0.8445523313785643,0.999999999975,0.6666666666666666,,,608,1678,2286,9604,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q11,"What was the impact of removing fake reviews on sentiment classification performance, and how does the paper interpret this result?",synthesis,naive,Naive RAG,baseline,naive,"Removing fake reviews did not significantly improve the Logistic Regression model’s classification performance. In fact, the unfiltered dataset performed slightly higher across some metrics. The paper interprets this result by suggesting that while anomaly detection enhances the reliability and trustworthiness of review interpretation, it does not directly increase sentiment classification accuracy.",1.0,0.7051168067344115,0.9166666666361111,1.0,,,674,1428,2102,8921,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q12,How does the project address the absence of ground-truth labels for fake review detection?,synthesis,naive,Naive RAG,baseline,naive,"The project addresses the absence of ground-truth labels for fake review detection by designing the system to flag potentially unreliable reviews rather than proving that a review is fake. This approach allows for the identification of suspicious review patterns using anomaly detection techniques, such as Isolation Forest and rule-based indicators, without needing confirmed fake review labels.",1.0,0.9223908003941799,0.999999999975,1.0,,,622,1528,2150,9056,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q13,"What software-development methodology did the team follow, and which tools supported it?",synthesis,naive,Naive RAG,baseline,naive,"The team followed a project management approach that evolved based on insights gained during development. They used Trello for task tracking and workflow management, organizing tasks in biweekly phases, and a Gantt chart for a high-level project timeline. Additionally, they conducted regular weekly meetings to review progress, discuss challenges, and plan upcoming tasks.",1.0,0.6827997668524861,0.9999999999,0.0,,,840,1935,2775,10067,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q14,What hyperparameters did the team use when fine-tuning a BERT model for sentiment classification?,out_of_scope,naive,Naive RAG,baseline,naive,I don't have enough information in the provided context to answer this question.,0.0,0.0,,,"[""context_precision"", ""context_recall""]",,609,1019,1628,4924,
1048c7caf903485588eb6118af3542c1,2026-06-22T13:15:37.032564+00:00,Report,Improving Insight Quality in Amazon App Reviews Through Sentiment Analysis and Anomaly Detection,q15,What was the total monetary cost of running this analytical pipeline on AWS?,out_of_scope,naive,Naive RAG,baseline,naive,I don't have enough information in the provided context to answer this question.,0.0,0.0,,,"[""context_precision"", ""context_recall""]",,628,1270,1898,7307,
